SKU;ID Tiny;Estoque
8.24.92.18.00;811858100;0
8.24.92.19.00;811858105;0
8.24.92.35.00;811910729;0
8.24.92.39.00;811910864;0
8.24.92.40.00;811910877;0
8.24.92.43.00;811910923;0
8.24.92.65.11;811858035;0
8.25.01.01.01;812009610;0
8.25.01.05.10;809543071;0
8.25.142.02.69;811368266;0
8.25.142.03.69;811368231;0
8.25.142.05.69;811368441;0
8.25.142.06.69;811368351;0
8.25.142.09.69;811368399;0
8.25.142.16.01;811367879;0
8.25.142.21.69;811367986;0
8.25.47.127.07;811914915;0
8.25.53.84.00;811373685;0
8.25.57.104.00;809550116;0
8.25.57.118.00;811930585;0
8.25.57.123.00;811939772;0
8.25.57.133.18;812010541;0
8.25.57.136.06;812031696;0
8.25.57.164.07;809542107;0
8.25.57.179.06;811914856;0
8.25.57.185.18;812028591;0
8.25.57.25.18;811916096;0
8.25.57.51.01;811857303;0
8.25.57.91.00;809548385;0
8.25.70.06.01;809545301;0
8.25.70.19.113;809549170;0
8.25.70.23.00;811818468;0
8.25.70.24.00;811855091;0
8.25.70.35.00;811916010;0
8.25.86.02.00;811370461;0
8.25.92.06.10;811931838;0
8.25.98.02.00;811911779;0
8.26.138.28.07;811918336;0
8.26.138.46.57;811916741;0
8.26.138.47.57;811916494;0
8.26.138.52.06;811916208;0
8.26.138.56.07;811918200;0
8.26.138.59.07;811918190;0
8.26.138.61.07;811918108;0
8.26.138.63.18;811918293;0
8.26.138.65.18;811918270;0
8.26.138.72.16;811916369;0
8.26.138.73.16;811916397;0
8.26.138.82.11;811917535;0
8.27.03.03.18;812032597;0
8.30.148.15.00;811372340;0
8.30.148.17.00;811372437;0
8.30.33.57.69;909753004;0
8.30.33.58.69;909753042;0
8.30.33.59.69;909753112;0
8.30.53.02.07;812006311;0
8.30.53.03.18;811935886;0
8.30.53.41.00;811924726;0
8.30.57.03.00;809549892;1
8.30.57.07.08;811366983;0
8.30.57.08.18;809549803;0
8.30.57.27.69;811914566;0
8.30.57.30.69;811928370;0
8.30.96.01.00;811373716;0
8.01.01.12.24;809551122;0
8.01.01.15.18;809551262;2
8.01.01.16.18;809551098;0
8.01.03.03.06;811356872;0
8.01.103.02.11;809550306;1
8.01.28.16.06;812010976;0
8.01.28.24.95;809551017;0
8.01.71.06.07;809551440;0
8.01.74.06.18;809552558;0
8.01.74.09.10;811356569;0
8.01.74.10.18;811356701;0
8.01.74.14.07;811356489;0
8.02.23.01.00;811358463;0
8.02.84.01.01;811357754;0
8.03.03.18.18;811358873;0
8.03.04.50.01;811361654;0
8.03.04.59.01;811362129;0
8.03.04.60.07;811361951;0
8.03.04.61.18;811362212;0
8.03.04.62.10;811361990;0
8.03.23.05.01;809541604;0
8.03.68.01.01;811361172;0
8.03.74.01.01;811358301;0
8.03.74.03.01;811360220;0
